,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL,Total Download Revenue ($)
105,Solitaire+,GAME_CARD,4.6,11889,2.99,100000,Brainium Studios,https://play.google.com/store/apps/details?id=com.brainium.solitaire,299000.0
106,Reigns: Her Majesty,GAME_CARD,4.8,15458,2.99,100000,DevolverDigital,https://play.google.com/store/apps/details?id=com.devolver.reigns2,299000.0
107,Meteorfall: Journeys,GAME_CARD,4.7,575,3.99,10000,Slothwerks,https://play.google.com/store/apps/details?id=com.slothwerks.meteorfall,39900.0
108,SET Mania,GAME_CARD,5.0,8,1.99,500,CF Digital,https://play.google.com/store/apps/details?id=com.setgame.setmania,995.0
109,Blackbird,GAME_CARD,4.4,1716,0.99,10000,R. Don Wilson,https://play.google.com/store/apps/details?id=net.donwilson.blackbird,9900.0
110,Card Quest,GAME_CARD,4.7,275,4.99,5000,Black Shell Media,https://play.google.com/store/apps/details?id=com.winterspring.cardquest,24950.0
111,Decked Builder,GAME_CARD,4.3,4273,3.99,50000,Decked Studios,https://play.google.com/store/apps/details?id=com.deckedbuilder.deckedbuilder,199500.0
112,Cribbage Pro Online!,GAME_CARD,4.6,6672,2.99,50000,"Fuller Systems, Inc.",https://play.google.com/store/apps/details?id=com.fullersystems.cribbage.online,149500.0
113,Kemono Mahjong,GAME_CARD,4.9,479,3.99,1000,CyberDog Software,https://play.google.com/store/apps/details?id=com.kemonomahjong.app,3990.0
114,Phase 10,GAME_CARD,4.2,35698,4.99,100000,Magmic Inc,https://play.google.com/store/apps/details?id=com.magmic.phase10,499000.0
115,Spades,GAME_CARD,4.2,582,1.99,10000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.spades,19900.0
116,Solitaire Collection Premium,GAME_CARD,4.6,892,1.95,10000,Ruben Reboredo,https://play.google.com/store/apps/details?id=org.rrl.android.solitairecollectiondeluxe,19500.0
117,Solitaire MegaPack,GAME_CARD,4.6,6513,2.99,100000,Tesseract Mobile,https://play.google.com/store/apps/details?id=com.tesseractmobile.solitairemulti,299000.0
118,Spider Solitaire+,GAME_CARD,4.6,3378,2.99,10000,Brainium Studios,https://play.google.com/store/apps/details?id=com.brainium.spider,29900.000000000004
119,Gin Rummy,GAME_CARD,4.2,447,1.99,10000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.ginrummy,19900.0
120,Patch Tarot,GAME_CARD,4.8,73,2.99,1000,Spirit Studios Inc,https://play.google.com/store/apps/details?id=com.spiritsciencecentral.patchtarot,2990.0
121,FreeCell Solitaire+,GAME_CARD,4.7,2780,2.99,10000,Brainium Studios,https://play.google.com/store/apps/details?id=com.brainium.freecell,29900.000000000004
122,Euchre,GAME_CARD,4.2,123,1.99,1000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.euchre,1990.0
123,The Game - Play ... as long as you can!,GAME_CARD,4.3,55,2.49,1000,Outline Development,https://play.google.com/store/apps/details?id=de.development.outline.thegame,2490.0
124,Munchkin Level Counter,GAME_CARD,4.1,991,4.99,10000,Steve Jackson Games,https://play.google.com/store/apps/details?id=com.sjgames.levelcounter,49900.0
125,VIP Slots Club ★ VIP Casino,GAME_CASINO,4.6,487,0.99,5000,Duksel Slots & Games,https://play.google.com/store/apps/details?id=com.duksel.slotsclubvip,4950.0
126,Craps Trainer Pro,GAME_CASINO,4.0,340,4.99,10000,E7Systems.com,https://play.google.com/store/apps/details?id=com.e7systems.craps.pro,49900.0
127,Card Counter,GAME_CASINO,4.7,175,2.99,1000,TMSOFT,https://play.google.com/store/apps/details?id=com.tmsoft.cardcounter,2990.0
128,Pokertrainer,GAME_CASINO,4.2,107,0.99,5000,Thomas Karlsson,https://play.google.com/store/apps/details?id=nu.Pokertrainer.Pokertrainer,4950.0
129,Top Money 💵 Slots (PREMIUM),GAME_CASINO,4.4,140,0.99,1000,Pure Casino Apps,https://play.google.com/store/apps/details?id=com.pure.casino.classic.free.slots.topmoneypremium,990.0
130,Cleopatra Keno,GAME_CASINO,3.3,41,1.99,1000,ejbytes,https://play.google.com/store/apps/details?id=air.com.ejbytes.cleopatrakeno,1990.0
131,Vintage Pachinko,GAME_CASINO,4.0,54,0.99,1000,Smiling Cat Entertainment LTD,https://play.google.com/store/apps/details?id=com.SmilingCatEntertainment.VintagePachinkoA,990.0
132,MEGA Money Slots PAID,GAME_CASINO,4.0,7,1.99,500,Mobile Amusements,https://play.google.com/store/apps/details?id=com.mobileamusements.MegaMoneySlotsPAID,995.0
133,Blackjack Verite Games,GAME_CASINO,4.2,23,34.99,500,QFIT (Norman Wattenberger),https://play.google.com/store/apps/details?id=com.nsbasic.gcbj,17495.0
134,Super Times Pay Poker,GAME_CASINO,4.3,100,1.99,1000,western apps,https://play.google.com/store/apps/details?id=com.horroronthego.Super_Times_Pay_Poker,1990.0
135,Play Perfect Video Poker Pro+,GAME_CASINO,4.0,0,19.99,50,"PlayPerfect, LLC",https://play.google.com/store/apps/details?id=com.playperfectllc.playperfectvpproplus,999.4999999999999
136,Multi-Card Keno,GAME_CASINO,4.5,30,1.99,1000,Lepshy,https://play.google.com/store/apps/details?id=com.horroronthego.Multi_Card_Keno,1990.0
137,Ultimate X Poker,GAME_CASINO,4.2,88,1.99,1000,KFTV,https://play.google.com/store/apps/details?id=com.horroronthego.Ultimate_X_Poker,1990.0
